Plant_ID,Category,Common_Name,Botanical_Name,Current_Image,Current_Exists,Best_Image,Best_Score,Best_Hits,Would_Apply
899,SHRUBS,Hydrangea Glowing Embers,,/GreenAcres-Images/Shrubs/Hydrangea_GlowingEmbers_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Hydrangea_GlowingEmbers_512x.jpg,50,hydrangea; glowingembers; contains:hydrangea; contains:glowing; contains:embers; contains:hydrangeaglowing; contains:glowingembers; compact-prefix,FALSE
900,SHRUBS,Hydrangea Limelight,,/GreenAcres-Images/Shrubs/Hydrangea_Limelight_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Hydrangea_Limelight_512x.jpg,38,hydrangea; limelight; hydrangealimelight; contains:hydrangea; contains:limelight; contains:hydrangealimelight,FALSE
901,SHRUBS,Hydrangea Little Quick Fire,,/GreenAcres-Images/Shrubs/Hydrangea_LittleQuickFire_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Hydrangea_LittleQuickFire_512x.jpg,42,hydrangea; contains:hydrangea; contains:little; contains:hydrangealittle; contains:littlequick; contains:quickfire; compact-prefix,FALSE
902,SHRUBS,Hydrangea Royal Purple,,/GreenAcres-Images/Shrubs/Hydrangea_RoyalPurple_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Hydrangea_RoyalPurple_512x.jpg,46,hydrangea; royalpurple; contains:hydrangea; contains:purple; contains:hydrangearoyal; contains:royalpurple; compact-prefix,FALSE
903,SHRUBS,Hydrangea White,,/GreenAcres-Images/Shrubs/Hydrangea_White_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Hydrangea_White_512x.jpg,31,hydrangea; white; hydrangeawhite; contains:hydrangea; contains:hydrangeawhite,FALSE
904,SHRUBS,Hydrangeanikkoblue,,/GreenAcres-Images/Shrubs/Hydrangea_NikkoBlue_01_7257e5d9-47de-48ff-ac33-17af799dcf6a_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Hydrangea_NikkoBlue_01_7257e5d9-47de-48ff-ac33-17af799dcf6a_512x.jpg,14,hydrangeanikkoblue; contains:hydrangeanikkoblue,FALSE
905,SHRUBS,Indian Hawthorn Majestic Beauty Standard Trunk,,/GreenAcres-Images/Shrubs/Rhaphiolepis_IndianHawthorn_MajesticBeauty_Std_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Rhaphiolepis_IndianHawthorn_MajesticBeauty_Std_512x.jpg,58,indianhawthorn; majesticbeauty; contains:indian; contains:hawthorn; contains:majestic; contains:beauty; contains:indianhawthorn; contains:hawthornmajestic; contains:majesticbeauty; compact-prefix,FALSE
906,SHRUBS,Indian Hawthorn Pink Dancer,,/GreenAcres-Images/Shrubs/Rhaphiolepis_IndianHawthorn_PinkDancer_Shrub_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Rhaphiolepis_IndianHawthorn_PinkDancer_Shrub_512x.jpg,54,indianhawthorn; pinkdancer; contains:indian; contains:hawthorn; contains:dancer; contains:indianhawthorn; contains:hawthornpink; contains:pinkdancer; compact-prefix,FALSE
907,SHRUBS,Indian Hawthorn Pinkie,,/GreenAcres-Images/Shrubs/Rhaphiolepis_IndianHawthorn_Pinkie_Blooms_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Rhaphiolepis_IndianHawthorn_Pinkie_Blooms_512x.jpg,47,pinkie; indianhawthorn; contains:indian; contains:hawthorn; contains:pinkie; contains:indianhawthorn; contains:hawthornpinkie; compact-prefix,FALSE
908,SHRUBS,Japanese Aralia,,/GreenAcres-Images/Shrubs/Fatsia_JapaneseAralia_Leaves_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Fatsia_JapaneseAralia_Leaves_512x.jpg,22,japanesearalia; contains:japanese; contains:aralia; contains:japanesearalia,FALSE
909,SHRUBS,Japanese Aucuba Gold Dust,,/GreenAcres-Images/Shrubs/Aucuba_GoldDustPlant_berries_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Aucuba_GoldDustPlant_berries_512x.jpg,19,aucuba; contains:aucuba; contains:aucubagold; contains:golddust,FALSE
910,SHRUBS,Japanese Tassel Fern,,,FALSE,/GreenAcres-Images/Shrubs/PolystichumPolyblepharum_JapaaneseTasselFern_512x.jpg,10,contains:tassel; contains:tasselfern,FALSE
911,SHRUBS,Jessamine Orange Peel,,/GreenAcres-Images/Shrubs/Cestrum_OrangePeelJessamine_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Cestrum_OrangePeelJessamine_512x.jpg,18,contains:jessamine; contains:orange; contains:orangepeel; contains:peeljessamine,FALSE
