plantId,productName,botanicalName,usdaNationalMatch,usdaNationalConfidence,usdaCaliforniaMatch,usdaCaliforniaConfidence,permapeopleMatch,permapeopleScientific,permapeopleConfidence,companionRows
362,Enduro&#8482; Verbena,Enduro&#8482; Verbena Series,,,,,,,,0
363,Ivy 'English',Hedera helix,,,,,,,,0
364,Euphorbia,Euphorbia x martinii 'Ascot Rainbow',,,,,,,,0
365,Euphorbia,Euphorbia hypericifolia,,,,,,,,0
366,Euphorbia 'Sticks on Fire',Euphorbia tirucalli 'Sticks on Fire',,,,,,,,0
367,Euryops Daisy,Euryops pectinatus,,,,,,,,0
368,Evolvulus,Evolvulus 'Beach Bum Blue',,,,,,,,0
369,Fan Flower,,,,,,,,,0
370,Feather Reed Grass 'Karl Foerster',Calamagrostis x 'Karl Foerster',,,,,,,,0
371,Fescue 'Buddy Blue',Festuca glauca 'Buddy Blue',,,,,,,,0
372,Fescue 'Elijah Blue',Festuca glauca 'Elijah Blue',,,,,,,,0
373,Fiber Optic Grass,Scirpus cernuus,,,,,,,,0
374,Firehouse&#8482; Verbena,Firehouse&#8482; Verbena Series,,,,,,,,0
375,Flapjack 'Desert Rose',Kalanchoe luciae (K. thyrsiflora) 'Desert Rose',,,,,,,,0
376,Flowering Kalanchoe,Kalanchoe blossfeldiana,,,,,,,,0
377,Foothill Penstemon 'Margarita BOP',Penstemon heterophyllus 'Margarita BOP',,,,,,,,0
378,Fountain Grass 'Fireworks',Pennisetum setaceum 'Fireworks',,,,,,,,0
379,Freesia,,,,,,,,,0
380,French Lavender,Lavandula dentata,,,,,,,,0
381,Fuchsia,Fuchsia magellanica,,,,,,,,0
382,Fuchsia Hanging Basket,Fuchsia magellanica,,,,,,,,0
383,Garden Penstemon,Penstemon x gloxinioides,,,,,,,,0
384,Garvinea&#174; Gerbera Daisy,Gerbera jamesonii 'Garvinea Series',,,,,,,,0
385,Gaura,Gaura lindheimeri,,,,,,,,0
386,Gaura 'Belleza',Gaura lindheimeri 'Belleza',,,,,,,,0
387,Gazania,,,,,,,,,0
388,Geranium,Pelargonium hortorum 'Vancouver Centennial',,,,,,,,0
389,Gerbera Daisy,Gerbera jamesonii,,,,,,,,0
390,Germander 'Summer Sunshine',Teucrium chamaedrys 'Summer Sunshine',,,,,,,,0
391,Gloriosa Daisy,,,,,,,,,0
392,Golden Moneywort,Lysimachia nummularia 'Aurea',,,,,,,,0
393,Grafted Moon Cactus,Gymnocalycium mihanovichii,,,,,,,,0
394,Graptosedum,Graptosedum 'Vera Higgins',,,,,,,,0
395,Green Carpet,Herniaria glabra,,,,,,,,0
396,Green Moneywort,Lysimachia nummularia,,,,,,,,0
397,Green Santolina,Santolina virens,,,,,,,,0
398,Ground Ivy,Glechoma hederacea,,,,,,,,0
399,Northern Lights Tufted Hair Grass,Deschampsia 'Northern Lights',,,,,,,,0
400,Hanging Basket 12,Hanging Basket Assorted,,,,,,,,0
401,Havana&#8482; Lantana,,,,,,,,,0
402,Haworthia,,,,,,,,,0
403,Heliotrope,,,,,,,,,0
404,Hens & Chicks,Sempervivum Assorted,,,,,,,,0
405,Coral Bells,,,,,,,,,0
406,Ivy Geranium,Pelargonium peltatum,,,,,,,,0
407,Ivy 'Hahn's',Hedera helix,,,,,,,,0
408,Japanese Blood Grass,Imperata cylindrica 'Red Baron',,,,,,,,0
409,Japanese Forest Grass 'All Gold',Hakonechloa macra 'All Gold',,,,,,,,0
410,Japanese Forest Grass 'Aureola',Hakonechloa macra 'Aureola',,,,,,,,0
411,Javelin Forte&#8482; Deep Purple Spanish Lavender,Lavandula stoechas 'Javelin Forte Deep Purple',,,,,,,,0
412,Kalanchoe 'Chocolate Soldier',Kalanchoe 'Chocolate Soldier',,,,,,,,0
413,Kalanchoe millotii,Kalanchoe millotii,,,,,,,,0
414,Kangaroo Paw,Anigozanthos Assorted,,,,,,,,0
415,Kangaroo Paw 'Pot-A-Roo',,,,,,,,,0
416,Silver Carpet Lamb's Ear,Stachys byzantina 'Silver Carpet',,,,,,,,0
417,Lamb's Ear,Stachys byzantina,,,,,,,,0
418,Lamb's Ear 'Helene Von Stein',Stachys byzantina 'Helen Von Stein',,,,,,,,0
419,Lampranthus 'Deltoides',,,,,,,,,0
420,Landmark&#8482; Lantana,,,,,,,,,0
421,Lantana,,,,,,,,,0
422,Lucky&#8482; Lantana,,,,,,,,,0
423,New Gold Lantana,Lantana x 'New Gold',,,,,,,,0
